config,lat-comp-per-image,lat-comp,fps-comp,tp-comp,chip,model,net,pruning,batch_size,quantization
"W2A2,1",0.27,0.27,3703.704,,FPGA,FINN,cnv,W2A2,,W2A2
"W2A2,2",0.183,0.366,5449.590999999999,,FPGA,FINN,cnv,W2A2,,W2A2
"W2A2,4",0.132,0.528,7575.758000000001,,FPGA,FINN,cnv,W2A2,,W2A2
"W2A2,8",0.09699999999999999,0.7759999999999999,10309.278,,FPGA,FINN,cnv,W2A2,,W2A2
"W2A2,16",0.078,1.248,12892.828000000001,,FPGA,FINN,cnv,W2A2,6.0,W2A2
"W2A2,32",0.068,2.176,14739.751,,FPGA,FINN,cnv,W2A2,2.0,W2A2
"W2A2,64",0.063,4.032,15880.893,,FPGA,FINN,cnv,W2A2,4.0,W2A2
"W2A2,128",0.061,7.808,16516.129,,FPGA,FINN,cnv,W2A2,28.0,W2A2
"W2A2,256",0.059000000000000004,15.104000000000001,16855.412,,FPGA,FINN,cnv,W2A2,56.0,W2A2
"W2A2,512",0.059000000000000004,30.208000000000002,17029.769,,FPGA,FINN,cnv,W2A2,12.0,W2A2
