,top1,fps-comp,network,type,hardw,hardw_datatype_net_prun,pairs,color
101,80.2,206.3983488,EfficientNet-L,predicted,EdgeTPU-fast,edgetpu-fast_int8_efficientnet-l_100,False,predicted_no_match
88,80.2,49.53560372,EfficientNet-L,predicted,Ultra96-DPU,ultra96-dpu_int8_efficientnet-l_100,False,predicted_no_match
89,80.2,237.3581011,EfficientNet-L,predicted,ZCU104-DPU,zcu104-dpu_int8_efficientnet-l_100,False,predicted_no_match
90,80.2,346.23323010000007,EfficientNet-L,predicted,ZCU102-DPU,zcu102-dpu_int8_efficientnet-l_100,False,predicted_no_match
102,80.2,103.1991744,EfficientNet-L,predicted,EdgeTPU-slow,edgetpu-slow_int8_efficientnet-l_100,False,predicted_no_match
72,78.6,906.7567568,EfficientNet-M,predicted,ZCU102-DPU,zcu102-dpu_int8_efficientnet-m_100,False,predicted_no_match
70,78.6,129.7297297,EfficientNet-M,predicted,Ultra96-DPU,ultra96-dpu_int8_efficientnet-m_100,False,predicted_no_match
84,78.6,270.2702703,EfficientNet-M,predicted,EdgeTPU-slow,edgetpu-slow_int8_efficientnet-m_100,False,predicted_no_match
71,78.6,621.6216216,EfficientNet-M,predicted,ZCU104-DPU,zcu104-dpu_int8_efficientnet-m_100,False,predicted_no_match
83,78.6,540.5405405,EfficientNet-M,predicted,EdgeTPU-fast,edgetpu-fast_int8_efficientnet-m_100,False,predicted_no_match
65,77,851.0638298,EfficientNet-S,predicted,EdgeTPU-fast,edgetpu-fast_int8_efficientnet-s_100,False,predicted_no_match
54,77,1427.659574,EfficientNet-S,predicted,ZCU102-DPU,zcu102-dpu_int8_efficientnet-s_100,False,predicted_no_match
52,77,204.25531909999998,EfficientNet-S,predicted,Ultra96-DPU,ultra96-dpu_int8_efficientnet-s_100,False,predicted_no_match
53,77,978.7234043,EfficientNet-S,predicted,ZCU104-DPU,zcu104-dpu_int8_efficientnet-s_100,False,predicted_no_match
66,77,425.5319149,EfficientNet-S,predicted,EdgeTPU-slow,edgetpu-slow_int8_efficientnet-s_100,False,predicted_no_match
234,66.96,140.57507990000002,GoogLeNetv1,predicted,TX2-maxq,tx2-maxq_fp32_googlenetv1_100,False,predicted_no_match
230,66.96,214.057508,GoogLeNetv1,predicted,TX2-maxn,tx2-maxn_fp32_googlenetv1_100,False,predicted_no_match
189,66.93,277.9552716,GoogLeNetv1,predicted,TX2-maxq,tx2-maxq_fp16_googlenetv1_100,False,predicted_no_match
185,66.93,424.9201278,GoogLeNetv1,predicted,TX2-maxn,tx2-maxn_fp16_googlenetv1_100,False,predicted_no_match
31,69.24,319.48881789999996,GoogLeNetv1,predicted,NCS,ncs_int8_googlenetv1_100,False,predicted_no_match
17,69.24,1469.6485619999999,GoogLeNetv1,predicted,ZCU104-DPU,zcu104-dpu_int8_googlenetv1_100,False,predicted_no_match
194,66.93,159.74440890000002,GoogLeNetv1,predicted,NCS,ncs_fp16_googlenetv1_100,False,predicted_no_match
126,73.30,797.5045872000001,ResNet-50,predicted,ZCU102-DPU,zcu102-dpu_int8_resnet-50_80,False,predicted_no_match
162,68.83,1900.7216329999999,ResNet-50,predicted,ZCU102-DPU,zcu102-dpu_int8_resnet-50_30,False,predicted_no_match
144,69.49,1215.7952,ResNet-50,predicted,ZCU102-DPU,zcu102-dpu_int8_resnet-50_50,False,predicted_no_match
161,68.83,1877.5510199999999,ResNet-50,predicted,ZCU104-DPU,zcu104-dpu_int8_resnet-50_30,False,predicted_no_match
207,75.14,112.69430049999998,ResNet-50,predicted,TX2-maxq,tx2-maxq_fp16_resnet-50_100,False,predicted_no_match
119,73.29,518.134715,ResNet-50,predicted,EdgeTPU-fast,edgetpu-fast_int8_resnet-50_100,False,predicted_no_match
120,73.29,259.0673575,ResNet-50,predicted,EdgeTPU-slow,edgetpu-slow_int8_resnet-50_100,False,predicted_no_match
203,75.14,172.2797927,ResNet-50,predicted,TX2-maxn,tx2-maxn_fp16_resnet-50_100,False,predicted_no_match
248,75.15,86.78756477,ResNet-50,predicted,TX2-maxn,tx2-maxn_fp32_resnet-50_100,False,predicted_no_match
143,69.49,1215.7952,ResNet-50,predicted,ZCU104-DPU,zcu104-dpu_int8_resnet-50_50,False,predicted_no_match
252,75.15,56.99481865,ResNet-50,predicted,TX2-maxq,tx2-maxq_fp32_resnet-50_100,False,predicted_no_match
125,73.30,703.3639143999999,ResNet-50,predicted,ZCU104-DPU,zcu104-dpu_int8_resnet-50_80,False,predicted_no_match
