,,ImageNet Classification,ImageNet Classification,ImageNet Classification,
Hardware,Platform,ResNet50,GoogLeNetV1,MobileNet,Batch/Stream/Thread
FPGA,ZCU102-DPU,"[INT8]*[100%,80%,50%,30%]",INT8,na,"[1,2,3,4,5,6,7,8]"
FPGA,ZCU104-DPU,INT8,INT8,na,"[1,2,3,4,5,6,7,8]"
FPGA,Ultra96-DPU,"[INT8]*[100%,80%,50%,30%]",INT8,INT8,"[1,2,3,4,5,6,7,8]"
FPGA,ZCU104-FINN,na,na,na,"[1,2,4,8,16,32,64,128,256,512,10000]"
FPGA,ZCU104-BISMO,na,na,na,"[2,4,8,16,32,64,128]"
GPU,TX2-maxn,"FP16,FP32","FP16,FP32",na,
GPU,TX2-maxp,"FP16,FP32","FP16,FP32",na,"[1,2,4,8,16,32,64,128]"
GPU,TX2-maxq,"FP16,FP32","FP16,FP32",na,
TPU,TPU-fast clk,na,INT8,INT8,[1]
TPU,TPU-slow clk,na,INT8,INT8,[1]
VLIW,NCS,FP16,na,na,"[1,2,4,8,16,32,64,128]"
CPU,U96-Quadcore A53,na,na,na,"[2,4,8,16,32,64,128]"
